bot_count,operators_per_station,seed,mean_pph,p5_pph,p95_pph,deadlocks,peak_queue_depth,avg_op_utilization,phase,waves,wave_offset_s,status,solver_s
4,1,1,101.4,101.4,101.4,0,1,0.451,linear,1,142,OPTIMAL,30.09
4,1,2,101.4,101.4,101.4,0,1,0.451,linear,1,142,OPTIMAL,30.08
4,1,3,101.4,101.4,101.4,0,1,0.451,linear,1,142,OPTIMAL,30.09
6,1,1,150.0,150.0,150.0,0,1,0.667,linear,2,144,FEASIBLE,32.43
6,1,2,150.0,150.0,150.0,0,1,0.667,linear,2,144,FEASIBLE,30.37
6,1,3,150.0,150.0,150.0,0,1,0.667,linear,2,144,FEASIBLE,30.92
8,1,1,110.8,110.8,110.8,0,1,0.492,collapse,1,260,OPTIMAL,34.14
8,1,2,110.8,110.8,110.8,0,1,0.492,collapse,1,260,OPTIMAL,41.21
8,1,3,110.8,110.8,110.8,0,1,0.492,collapse,1,260,OPTIMAL,36.92
10,1,1,89.1,89.1,121.6,0,1,0.396,collapse,1,404,FEASIBLE,60.09
10,1,2,121.6,89.1,121.6,0,1,0.541,collapse,1,296,OPTIMAL,48.27
10,1,3,96.3,89.1,121.6,0,1,0.428,collapse,1,374,FEASIBLE,60.09
12,1,1,115.5,114.0,115.5,0,1,0.513,collapse,1,374,FEASIBLE,60.13
12,1,2,114.0,114.0,115.5,0,1,0.507,collapse,1,379,FEASIBLE,60.11
12,1,3,115.5,114.0,115.5,0,1,0.513,collapse,1,374,FEASIBLE,60.3
16,1,1,96.8,96.8,96.8,0,1,0.43,collapse,1,595,FEASIBLE,60.25
16,1,2,0.0,96.8,96.8,1,0,0.0,collapse,0,0,INFEASIBLE,60.21
16,1,3,0.0,96.8,96.8,1,0,0.0,collapse,0,0,INFEASIBLE,60.19
20,1,1,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,30.55
20,1,2,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,30.15
20,1,3,0.0,0.0,0.0,1,0,0.0,collapse,0,0,INFEASIBLE,30.18
